Global_PortID,Logical_PortID,Port_Name,Supported_Port_Profiles,Attached_CoreID,Attached_Core_PortID,Virtual_Device_ID,Port_Type,Scope
1,1,eth1/1/1,23-25-38-39,,,,0,0
2,2,eth1/1/5,23-25-38,,,,0,0
3,3,eth1/2/1,23-25-38-39,,,,0,0
4,4,eth1/2/5,23-25-38,,,,0,0
5,5,eth1/3/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0
6,6,eth1/3/2,43-56,,,,0,0
7,7,eth1/3/3,19-21-43-55-56,,,,0,0
8,8,eth1/3/4,43-56,,,,0,0
9,9,eth1/3/5,19-21-22-24-32-38-43-45-55-56,,,,0,0
10,10,eth1/3/6,43-56,,,,0,0
11,11,eth1/3/7,19-21-43-55-56,,,,0,0
12,12,eth1/3/8,43-56,,,,0,0
13,13,eth1/4/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0
14,14,eth1/4/2,43-56,,,,0,0
15,15,eth1/4/3,19-21-43-55-56,,,,0,0
16,16,eth1/4/4,43-56,,,,0,0
17,17,eth1/4/5,19-21-22-24-32-38-43-45-55-56,,,,0,0
18,18,eth1/4/6,43-56,,,,0,0
19,19,eth1/4/7,19-21-43-55-56,,,,0,0
20,20,eth1/4/8,43-56,,,,0,0
21,21,eth1/5/1,23-25-38-39,,,,0,0
22,22,eth1/5/5,23-25-38,,,,0,0
23,23,eth1/6/1,23-25-38-39,,,,0,0
24,24,eth1/6/5,23-25-38,,,,0,0
25,25,eth1/7/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0
26,26,eth1/7/2,43-56,,,,0,0
27,27,eth1/7/3,19-21-43-55-56,,,,0,0
28,28,eth1/7/4,43-56,,,,0,0
29,29,eth1/7/5,19-21-22-24-32-38-43-45-55-56,,,,0,0
30,30,eth1/7/6,43-56,,,,0,0
31,31,eth1/7/7,19-21-43-55-56,,,,0,0
32,32,eth1/7/8,43-56,,,,0,0
33,33,eth1/8/1,19-21-22-24-32-38-39-43-45-50-55-56,,,,0,0
34,34,eth1/8/2,43-56,,,,0,0
35,35,eth1/8/3,19-21-43-55-56,,,,0,0
