A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH6_NIF,0,1,2,Y,N,1,3,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,0,TH6_NIF,1,2,3,N,Y,1,3,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,0,TH6_NIF,2,5,7,Y,Y,1,3,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,0,TH6_NIF,3,4,4,N,N,1,3,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,0,TH6_NIF,4,3,0,N,N,1,3,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,0,TH6_NIF,5,0,1,Y,Y,1,3,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,0,TH6_NIF,6,7,6,Y,N,1,3,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,0,TH6_NIF,7,6,5,N,N,1,3,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,1,TH6_NIF,0,1,2,Y,N,1,4,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,1,TH6_NIF,1,0,3,Y,Y,1,4,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,1,TH6_NIF,2,7,7,Y,Y,1,4,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,1,TH6_NIF,3,6,5,N,N,1,4,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,1,TH6_NIF,4,3,0,N,N,1,4,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,1,TH6_NIF,5,2,1,N,Y,1,4,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,1,TH6_NIF,6,5,6,Y,N,1,4,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,1,TH6_NIF,7,4,4,N,N,1,4,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,2,TH6_NIF,0,4,4,N,N,1,5,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,2,TH6_NIF,1,5,6,Y,N,1,5,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,2,TH6_NIF,2,2,1,N,Y,1,5,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,2,TH6_NIF,3,3,0,N,N,1,5,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,2,TH6_NIF,4,6,5,N,N,1,5,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,2,TH6_NIF,5,7,7,Y,Y,1,5,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,2,TH6_NIF,6,0,3,Y,Y,1,5,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,2,TH6_NIF,7,1,2,Y,N,1,5,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,3,TH6_NIF,0,6,5,N,N,1,6,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,3,TH6_NIF,1,7,6,Y,N,1,6,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,3,TH6_NIF,2,0,1,Y,Y,1,6,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,3,TH6_NIF,3,3,0,N,N,1,6,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,3,TH6_NIF,4,4,4,N,N,1,6,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,3,TH6_NIF,5,5,7,Y,Y,1,6,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,3,TH6_NIF,6,2,3,N,Y,1,6,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,3,TH6_NIF,7,1,2,N,N,1,6,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,7,TH6_NIF,0,3,3,Y,N,1,10,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,7,TH6_NIF,1,1,1,N,Y,1,10,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,7,TH6_NIF,2,6,7,N,Y,1,10,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,7,TH6_NIF,3,7,5,Y,N,1,10,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,7,TH6_NIF,4,2,2,N,N,1,10,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,7,TH6_NIF,5,0,0,N,Y,1,10,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,7,TH6_NIF,6,5,4,N,Y,1,10,BACKPLANE,0,EXAMAX,6,6,6,N,N
1,1,NPU,7,TH6_NIF,7,4,6,Y,Y,1,10,BACKPLANE,0,EXAMAX,7,7,7,N,N
1,1,NPU,6,TH6_NIF,0,3,3,Y,N,1,9,BACKPLANE,0,EXAMAX,0,0,0,N,N
1,1,NPU,6,TH6_NIF,1,0,1,N,Y,1,9,BACKPLANE,0,EXAMAX,1,1,1,N,N
1,1,NPU,6,TH6_NIF,2,5,7,N,Y,1,9,BACKPLANE,0,EXAMAX,2,2,2,N,N
1,1,NPU,6,TH6_NIF,3,4,6,Y,Y,1,9,BACKPLANE,0,EXAMAX,3,3,3,N,N
1,1,NPU,6,TH6_NIF,4,2,2,N,N,1,9,BACKPLANE,0,EXAMAX,4,4,4,N,N
1,1,NPU,6,TH6_NIF,5,1,0,N,Y,1,9,BACKPLANE,0,EXAMAX,5,5,5,N,N
1,1,NPU,6,TH6_NIF,6,6,4,N,Y,1,9,BACKPLANE,0,EXAMAX,6,6,6,N,N
